FECHA,CIUDAD,NUM_CONTADOR
2019-01-20,SANT JOAN DESPI,326988
2019-01-20,SANT BOI,859
2019-01-20,ESPLUGUES,132459
2019-01-20,VILADECANS,71603
2019-01-20,CASTELLDEFELS,300752
2019-01-20,LA LLAGOSTA,129
2019-01-20,STA.COLOMA GRAMENET,440
2019-01-20,LES BOTIGUES SITGES,1966
2019-01-20,L'HOSPITALET LLOBR.,12490986
2019-01-20,SANT JUST DESVERN,45521
2019-01-20,BEGUES,62324
2019-01-20,PALLEJA,69080
2019-01-20,SANT CLIMENT LLOB.,14390
2019-01-20,MONTGAT,2773
2019-01-20,SANT CUGAT,136
2019-01-20,GAVA,299455
2019-01-20,TORRELLES LLOBREGAT,17648
2019-01-20,CORNELLA,1452
2019-01-21,LES BOTIGUES SITGES,1966
2019-01-21,MONTGAT,2507
2019-01-21,L'HOSPITALET LLOBR.,12481776
2019-01-21,BEGUES,62287
2019-01-21,SANT JOAN DESPI,326709
2019-01-21,SANT JUST DESVERN,45521
2019-01-21,SANT CUGAT,136
2019-01-21,BARCELONA,44179570
2019-01-21,TORRELLES LLOBREGAT,17648
2019-01-21,SANT CLIMENT LLOB.,14390
2019-01-21,GAVA,299248
2019-01-21,STA.COLOMA GRAMENET,440
2019-01-21,SANT ADRIA,252559
2019-01-21,CORNELLA,1452
2019-01-21,PALLEJA,69049
2019-01-21,CERDANYOLA,533
2019-01-21,SANT BOI,795
2019-01-21,STA.COLOMA CERVELLO,5
2019-01-21,CASTELLDEFELS,300831
2019-01-21,LA LLAGOSTA,129
2019-01-21,SANT FELIU LL.,411132
2019-01-21,ESPLUGUES,132158
2019-01-21,MONTCADA I REIXAC,71295
2019-01-21,BADALONA,1196
2019-01-21,EL PAPIOL,38778
2019-01-21,VILADECANS,71155
2019-01-22,VILADECANS,71065
2019-01-22,CORNELLA,1481
2019-01-22,ESPLUGUES,132062
2019-01-22,STA.COLOMA GRAMENET,440
2019-01-22,LA LLAGOSTA,129
2019-01-22,SANT ADRIA,252602
2019-01-22,CASTELLDEFELS,300813
2019-01-22,SANT BOI,795
2019-01-22,PALLEJA,69087
2019-01-22,EL PAPIOL,38778
2019-01-22,STA.COLOMA CERVELLO,5
2019-01-22,SANT FELIU LL.,411212
2019-01-22,MONTCADA I REIXAC,71326
2019-01-22,CERDANYOLA,533
2019-01-22,BADALONA,1209
2019-01-22,SANT CUGAT,136
2019-01-22,BARCELONA,44238310
2019-01-22,L'HOSPITALET LLOBR.,12494118
2019-01-22,SANT JOAN DESPI,326545
2019-01-22,SANT JUST DESVERN,45558
2019-01-22,BEGUES,62287
2019-01-22,GAVA,299038
2019-01-22,MONTGAT,2507
2019-01-22,SANT CLIMENT LLOB.,14390
2019-01-22,LES BOTIGUES SITGES,1966
2019-01-22,TORRELLES LLOBREGAT,17844
2019-01-23,GAVA,299134
2019-01-23,MONTCADA I REIXAC,71387
2019-01-23,TORRELLES LLOBREGAT,17876
2019-01-23,BARCELONA,44343730
2019-01-23,SANT JOAN DESPI,326341
2019-01-23,SANT BOI,795
2019-01-23,CASTELLDEFELS,300804
2019-01-23,SANT JUST DESVERN,45584
2019-01-23,MONTGAT,2507
2019-01-23,LES BOTIGUES SITGES,1966
2019-01-23,BEGUES,62287
2019-01-23,SANT CLIMENT LLOB.,14417
2019-01-23,SANT CUGAT,136
2019-01-23,ESPLUGUES,132069
2019-01-23,BADALONA,1173
2019-01-23,LA LLAGOSTA,129
2019-01-23,VILADECANS,71244
2019-01-23,CORNELLA,1452
2019-01-23,STA.COLOMA GRAMENET,440
2019-01-23,L'HOSPITALET LLOBR.,12500124
2019-01-23,SANT FELIU LL.,411908
2019-01-23,SANT ADRIA,252793
2019-01-23,EL PAPIOL,38778
2019-01-23,STA.COLOMA CERVELLO,5
2019-01-23,PALLEJA,69087
2019-01-23,CERDANYOLA,533
2019-01-24,PALLEJA,69112
2019-01-24,SANT CLIMENT LLOB.,14464
2019-01-24,LA LLAGOSTA,129
2019-01-24,ESPLUGUES,131949
2019-01-24,BADALONA,1173
2019-01-24,VILADECANS,71413
2019-01-24,SANT ADRIA,252696
2019-01-24,SANT FELIU LL.,411758
2019-01-24,EL PAPIOL,38778
2019-01-24,CORNELLA,1452
2019-01-24,L'HOSPITALET LLOBR.,12496776
2019-01-24,TORRELLES LLOBREGAT,17876
2019-01-24,MONTCADA I REIXAC,71397
2019-01-24,CERDANYOLA,533
2019-01-24,SANT BOI,795
2019-01-24,BARCELONA,44448120
2019-01-24,STA.COLOMA CERVELLO,5
2019-01-24,GAVA,299106
2019-01-24,CASTELLDEFELS,300608
2019-01-24,MONTGAT,2396
2019-01-24,STA.COLOMA GRAMENET,440
2019-01-24,BEGUES,62287
2019-01-24,LES BOTIGUES SITGES,1966
2019-01-24,SANT JUST DESVERN,45500
2019-01-24,SANT CUGAT,136
2019-01-24,SANT JOAN DESPI,326486
2019-01-25,CASTELLDEFELS,300657
2019-01-25,SANT BOI,859
2019-01-25,EL PAPIOL,38778
2019-01-25,STA.COLOMA CERVELLO,5
2019-01-25,GAVA,299415
2019-01-25,CERDANYOLA,533
2019-01-25,SANT FELIU LL.,412904
2019-01-25,MONTCADA I REIXAC,71387
2019-01-25,TORRELLES LLOBREGAT,17876
2019-01-25,SANT CUGAT,136
2019-01-25,VILADECANS,71939
2019-01-25,ESPLUGUES,132073
2019-01-25,STA.COLOMA GRAMENET,440
2019-01-25,LA LLAGOSTA,129
2019-01-25,BARCELONA,44580640
2019-01-25,SANT JOAN DESPI,326735
2019-01-25,SANT JUST DESVERN,45524
2019-01-25,PALLEJA,69154
2019-01-25,BEGUES,62287
2019-01-25,MONTGAT,2396
2019-01-25,SANT CLIMENT LLOB.,14493
2019-01-25,LES BOTIGUES SITGES,1966
2019-01-25,BADALONA,1173
2019-01-25,CORNELLA,1452
2019-01-25,L'HOSPITALET LLOBR.,12502284
2019-01-25,SANT ADRIA,252794
2019-01-26,SANT BOI,859
2019-01-26,CASTELLDEFELS,300778
2019-01-26,VILADECANS,72351
2019-01-26,MONTCADA I REIXAC,71415
2019-01-26,BADALONA,1173
2019-01-26,SANT JOAN DESPI,326882
2019-01-26,BARCELONA,44568290
2019-01-26,ESPLUGUES,132620
2019-01-26,SANT CUGAT,136
2019-01-26,STA.COLOMA GRAMENET,440
2019-01-26,CERDANYOLA,533
2019-01-26,LA LLAGOSTA,129
2019-01-26,TORRELLES LLOBREGAT,17876
2019-01-26,STA.COLOMA CERVELLO,5
2019-01-26,GAVA,299533
2019-01-26,SANT ADRIA,252868
2019-01-26,EL PAPIOL,38778
2019-01-26,SANT FELIU LL.,412508
2019-01-26,L'HOSPITALET LLOBR.,12503958
2019-01-26,CORNELLA,1423
2019-01-26,SANT CLIMENT LLOB.,14493
2019-01-26,LES BOTIGUES SITGES,2056
2019-01-26,MONTGAT,2396
2019-01-26,BEGUES,62287
2019-01-26,PALLEJA,69182
2019-01-26,SANT JUST DESVERN,45679
2019-01-27,SANT FELIU LL.,412549
2019-01-27,SANT ADRIA,252660
2019-01-27,STA.COLOMA GRAMENET,440
2019-01-27,EL PAPIOL,38778
2019-01-27,CORNELLA,1452
2019-01-27,BADALONA,1173
2019-01-27,PALLEJA,69182
2019-01-27,CERDANYOLA,533
2019-01-27,SANT JOAN DESPI,326830
2019-01-27,STA.COLOMA CERVELLO,16
2019-01-27,BARCELONA,44470370
2019-01-27,MONTCADA I REIXAC,71415
2019-01-27,CASTELLDEFELS,300770
2019-01-27,LA LLAGOSTA,129
2019-01-27,SANT BOI,859
2019-01-27,ESPLUGUES,132627
2019-01-27,VILADECANS,72161
2019-01-27,MONTGAT,2305
2019-01-27,LES BOTIGUES SITGES,2056
2019-01-27,BEGUES,62287
2019-01-27,L'HOSPITALET LLOBR.,12497880
